id,year,metric,question,basis,unit_hint,section_hint,answer
dep_fy25,FY2024-25,Total Deposits,"What were HDFC Bank’s total deposits as on March 31, 2025?",Standalone,₹ crore,Directors’ Report / Highlights,
casa_fy25,FY2024-25,CASA ratio,What was the CASA ratio in FY2024–25?,Standalone,%,Directors’ Report / Highlights,
adv_fy25,FY2024-25,Total Advances,"What were total advances as on March 31, 2025?",Standalone,₹ crore,Directors’ Report / Highlights,
pat_fy25_standalone,FY2024-25,PAT (Standalone),What was Net Profit (PAT) in FY2024–25 (standalone)?,Standalone,₹ crore,Directors’ Report / Highlights,
gnpa_fy25,FY2024-25,Gross NPA ratio,What was the Gross NPA ratio in FY2024–25?,Standalone,%,Risk / Asset Quality summary,
nnpa_fy25,FY2024-25,Net NPA ratio,What was the Net NPA ratio in FY2024–25?,Standalone,%,Risk / Asset Quality summary,
pcr_fy25,FY2024-25,Provision Coverage Ratio,What was the Provision Coverage Ratio (PCR) in FY2024–25?,Standalone,%,Risk / Asset Quality summary,
cir_fy25,FY2024-25,Cost-to-Income ratio,What was the Cost-to-Income ratio in FY2024–25?,Standalone,%,Performance highlights / Ratios,
nim_fy25,FY2024-25,Net Interest Margin,What was the Net Interest Margin (NIM) in FY2024–25?,Standalone,%,Performance highlights / Ratios,
car_fy25,FY2024-25,Capital Adequacy Ratio,What was the Capital Adequacy Ratio (CRAR/CAR) in FY2024–25?,Standalone,%,Capital & Risk / Basel,
tier1_fy25,FY2024-25,Tier 1 Ratio,What was the Tier 1 capital ratio in FY2024–25?,Standalone,%,Capital & Risk / Basel,
cet1_fy25,FY2024-25,CET1 Ratio,What was the CET1 ratio in FY2024–25?,Standalone,%,Capital & Risk / Basel,
eps_fy25,FY2024-25,EPS (Basic),What was the Basic EPS in FY2024–25?,Standalone,₹,Performance highlights / Ratios,
roa_fy25,FY2024-25,RoA,What was the Return on Assets (RoA) in FY2024–25?,Standalone,%,Performance highlights / Ratios,
